candidateId,strategyVariantId,runs,scenarioCount,avgScore,medianScore,p10Score,p90Score,completionRate,avgSurvivalTimeSeconds,avgLevel,avgKills,avgDamageDealt,medianDamageDealt,p10DamageDealt,p90DamageDealt,avgDamageTaken,damageWindowPassRate,avgDamageWindowViolationCount,avgMaxDamageWindowRatio,damageSafetyPenalty,damageDealtStdDev,scoreStdDev,consistencyScore,generalFitnessScore
search_candidate_000095_35353239,random-phased,120,120,1131.2667,1004,451,1885.3,0.475,103.8042,3.55,57.7,1670.0667,1539,658,2861.6,98.7833,0.0167,1.6833,0.6176,14183.2917,871.9361,575.7173,222.0319,-11067.0186
search_candidate_000041_86430af6,random-phased,120,120,1028.1583,736.5,361.3,2029.3,0.3,96.1746,3.1583,54.9333,1515.0917,1094,480,2917.2,100.825,0.075,1.425,0.7017,13590.6,970.1028,637.8771,-5.0514,-11091.5186
search_candidate_000013_b09ba0fb,random-phased,120,120,1041.3333,806,413,1960.7,0.3,96.7063,3.1833,55.2833,1507.175,1165,568.7,2833.6,97.0083,0.075,1.525,0.6704,13746.6667,878.9305,594.9485,129.2348,-11139.9247
search_candidate_000045_5051863a,random-phased,120,120,1125.925,1027,598.9,1772.4,0.6667,112.8371,3.5417,55.3417,1852.65,1761.5,994.8,2925.9,93.1333,0,2.025,0.4905,14933.5417,790.4317,464.1403,599.5842,-11150.0115
search_candidate_000023_b87c8649,random-phased,120,120,1117.775,1033,421.4,1962.6,0.475,101.1058,3.6,56.9417,1687.525,1567.5,579.5,2979.3,97.0333,0.0333,1.6667,0.6477,14261.8167,949.3683,586.5783,104.8159,-11184.3785
search_candidate_000075_0f82257a,random-phased,120,120,1189.775,1179,546.4,1898.4,0.6833,113.235,3.7333,58.95,1867.8917,1735,994,2853,93.7667,0,2.1583,0.4475,15177.25,784.5197,510.571,601.7401,-11383.4436
search_candidate_000058_a42d1872,random-phased,120,120,1090.5833,772.5,424.1,2044.3,0.3,96.8808,3.4167,57,1610.4333,1203.5,599,3069.2,100.7167,0.0417,1.5333,0.7132,14138.1833,993.1011,642.5827,102.4494,-11396.1101
search_candidate_000053_91ee0863,random-phased,120,120,1042.35,842,424.6,1806.8,0.35,98.7617,3.2333,54.2833,1533.9,1236.5,556.5,2784.7,100,0.05,1.5333,0.7105,14170.075,850.4392,549.7824,131.2804,-11482.7689
search_candidate_000111_26fc136f,random-phased,120,120,1095.875,820.5,435.9,2032.5,0.2917,95.8912,3.5667,56.5667,1538.5417,1149.5,568.7,2851.4,102.3167,0.0333,1.5333,0.7116,14184.9417,912.5069,623.4134,112.4466,-11562.1074
search_candidate_000043_d5b710df,random-phased,120,120,1118.575,1030.5,485.9,1841,0.5333,107.9987,3.6667,55.3333,1828.125,1682.5,779.3,3085.7,98.4167,0.0083,1.95,0.5595,15059.0083,907.6469,519.9931,325.4766,-11590.2914
