candidateId,strategyVariantId,runs,scenarioCount,bossKillRate,avgExp,medianExp,p10Exp,p90Exp,expStdDev,avgScore,medianScore,p10Score,p90Score,completionRate,avgSurvivalTimeSeconds,avgLevel,avgKills,avgDamageDealt,medianDamageDealt,p10DamageDealt,p90DamageDealt,avgDamageTaken,damageWindowPassRate,avgDamageWindowViolationCount,avgMaxDamageWindowRatio,damageSafetyPenalty,damageDealtStdDev,scoreStdDev,consistencyScore,generalFitnessScore
search_candidate_000086_20dba9cf,random-phased,8,8,0,403.5,102,45.6,1206.6,563.3223,3804.625,1786,1010.2,9651,0,214.0875,9.5,184.375,8331.25,3736.5,1988,21540.2,207.375,0,4,0.5959,28087,9151.624,4009.3814,-236.0611,403.5
search_candidate_000173_3dab830b,random-phased,8,8,0,403.25,108.5,49,962.2,662.1904,4072.25,1905.5,1181.4,8421.8,0,202.6,9.375,206.625,8474.125,3943.5,1855,18192.5,178.625,0,3.25,0.5392,23330.75,11214.6569,4979.887,-282.0952,403.25
centered_candidate_000126_0e06139b,centered-gaussian,8,8,0,401,59.5,38.6,900.9,906.9628,3720,1320,920.1,7474.1,0,162.8875,7.75,194.25,11065.25,2221,1299,24332.2,164.25,0,2.625,0.665,20671.625,24132.8872,6568.2195,-414.8814,401
centered_candidate_000001_013f6587,centered-gaussian,8,8,0,390.5,69.5,47.1,928.9,719.3773,3778.875,1459,1071.8,7926.5,0,194.2875,8.75,189.375,8675.25,2945,1695.3,19427.6,176.5,0,3.25,0.5894,23010.5,13077.8115,5205.6038,-312.5887,390.5
centered_candidate_000321_be601579,centered-gaussian,8,8,0,383.625,62.5,38.6,936.6,792.5098,3526.75,1301.5,871.4,7742.9,0,168.375,8.125,178.125,9541.5,2144.5,1226.8,22373.3,177.875,0,2.75,0.7253,21863.375,18607.2979,5505.6375,-357.6549,383.625
search_candidate_000305_5412c9cb,random-phased,8,8,0,382.5,135.5,55.4,954.1,432.9402,3773.625,2153,1197.6,7769.9,0,232.475,9.875,179.75,8059.25,4159,1940.5,17185.1,217.875,0,4,0.4489,26447.625,7155.8067,3139.1585,-161.0701,382.5
search_candidate_000213_90dfdc37,random-phased,8,8,0,381.375,67,54.8,1050.4,605.1834,3798.75,1486,1201.3,9021.6,0,190.2125,9.125,194.125,8796.25,2751.5,2248.4,21566.3,215.75,0,4,0.7845,29607,12057.4681,4566.7086,-247.7917,381.375
centered_candidate_000171_9542a8e4,centered-gaussian,8,8,0,375.75,57,35.1,1005.5,706.8207,3544.125,1211,815.6,8521.4,0,164.75,8.25,179.625,7747.875,1955.5,1067.5,19644,171.625,0,2.625,0.6995,21127.25,13288.8567,5261.9566,-318.3103,375.75
centered_candidate_000270_ecf2bde1,centered-gaussian,8,8,0,368.5,64,48.1,836.9,612.0692,3586.375,1326,1071.8,7217.3,0,195.85,8.625,176.375,8685.125,2517.5,1772.7,18676.9,173.125,0,3,0.5966,22094.875,12431.3018,4519.1691,-257.9346,368.5
search_candidate_000012_b03707b2,random-phased,8,8,0,366.875,60,40.8,813.2,828.6064,3354.5,1280,968.5,6541.9,0,165.825,7.375,171.25,10142,2274.5,1591.8,21866.7,174.375,0,2,0.7491,18455.375,21430.8256,5742.7629,-373.5032,366.875
