candidateId,strategyVariantId,runs,scenarioCount,bossKillRate,avgExp,medianExp,p10Exp,p90Exp,expStdDev,avgScore,medianScore,p10Score,p90Score,completionRate,avgSurvivalTimeSeconds,avgLevel,avgKills,avgDamageDealt,medianDamageDealt,p10DamageDealt,p90DamageDealt,avgDamageTaken,damageWindowPassRate,avgDamageWindowViolationCount,avgMaxDamageWindowRatio,damageSafetyPenalty,damageDealtStdDev,scoreStdDev,consistencyScore,generalFitnessScore
centered_candidate_000197_25c326c8,centered-gaussian,5,5,0.2,606.8,92,38,1697.8,1080.3843,5218.4,1634,917.6,13195.8,0.2,189.36,10.2,265.4,15520.4,2942,1486.6,42245.4,185.4,0,2.8,0.5842,22278.4,26446.7644,7849.2444,-502.1921,606.8
centered_candidate_000261_f620c02a,centered-gaussian,5,5,0.2,594,116,58,1561,878.8158,5320,1875,1298.8,12438.4,0.2,215.28,11.4,263.6,14838.4,3951,2425,37497.6,194.8,0,4.2,0.5293,28417.6,21065.322,6409.2473,-381.4079,594
centered_candidate_000101_dc802f0e,centered-gaussian,5,5,0.2,587,78,63.4,1620.6,1028.0391,5195.2,1593,1262.4,12754.6,0.2,202.22,10.2,264.4,14662,3241,2323,38577.4,191.2,0,3.2,0.5407,23642.4,23708.4067,7462.0409,-450.6196,587
centered_candidate_000281_34d57d79,centered-gaussian,5,5,0.2,581,112,63.6,1521,865.714,5283,1972,1313.4,12231.4,0.2,225.06,11.4,261,12965.2,4113,2693.2,31286.6,199.8,0,3.6,0.5521,24962.6,16916.4348,6392.8221,-369.257,581
centered_candidate_000160_d3329f38,centered-gaussian,5,5,0.2,578.2,90,55.8,1592.6,1004.5599,5126.4,1706,1273.2,12482.8,0.2,198,10.4,260.2,13450.8,3070,2486.6,34857.6,202.6,0,3.2,0.7628,25239.4,21226.9584,7268.4537,-446.4799,578.2
centered_candidate_000315_d4d273f6,centered-gaussian,5,5,0.2,577,78,52,1603.6,1021.5784,5120.2,1569,1122.2,12719.6,0.2,189.98,10.2,261.2,14152.8,2666,2003.8,37759.8,188.8,0,2.6,0.7053,21116.2,23446.2883,7488.1943,-458.7892,577
centered_candidate_000360_9c25bfc7,centered-gaussian,5,5,0.2,570.2,113,78.8,1476.2,839.705,5286.4,1981,1511.2,12036.2,0.2,225.94,11.4,262.2,13200,3999,2985,31757.4,196.8,0,3.6,0.538,25479.2,17148.9287,6195.297,-341.0525,570.2
centered_candidate_000339_0c01b3ed,centered-gaussian,5,5,0.2,564.2,258,202,1171,519.0127,5416.4,3242,2734,9936.6,0.2,279.02,13.4,253,12718.8,8137,6349.8,23282.6,219.2,0,3.4,0.4662,23659,9355.0512,3939.9542,-57.5063,564.2
centered_candidate_000468_bc15507f,centered-gaussian,5,5,0.2,563.6,433,65.2,1238.4,602.9934,5333,4410,1338.2,10583.6,0.2,231.2,12.4,261.2,12413,9230,2472,26373.2,219.4,0,4,0.5948,28708,12822.2597,4692.3489,-236.2967,563.6
centered_candidate_000275_4daea063,centered-gaussian,5,5,0.2,561.6,71,44.8,1528.4,899.1495,5025.2,1493,1026.4,12259.8,0.2,210.38,10.6,249.4,13090.8,3225,1965.8,33460.2,192.8,0,4,0.6368,27847.4,18946.1933,6651.2176,-404.7748,561.6
centered_candidate_000483_ee745bd7,centered-gaussian,5,5,0.2,560.8,81,66.4,1500,886.5473,5137,1720,1413,12058.6,0.2,216.18,11,255.2,13309.8,3173,2575.8,33398.8,194.8,0,4.4,0.4881,29237.8,18829.9811,6519.7052,-376.8737,560.8
