candidateId,strategyProfileHash,phaseId,startSeconds,endSeconds,runs,survivalRate,avgScoreGain,avgExpGain,avgLevelGain,avgKills,avgDamageDealt,avgDamageTaken,avgPickupsCollected,avgEnemiesSpawned,phaseFitnessScore
centered_candidate_000034_908b48c3,fnv1a-2d217101,0-30,0,30,3,1,169,1.6667,0,2,43.3333,2.2,1.6667,32,0.3
centered_candidate_000032_f5a411d1,fnv1a-ec7a17c1,0-30,0,30,3,1,176.6667,2.3333,0,2.6667,56.6667,3.2,2.3333,32,0.1333
centered_candidate_000035_dd247b69,fnv1a-993a0232,0-30,0,30,3,1,168.6667,1.6667,0,2,46.6667,2.4,1.6667,32,0
centered_candidate_000023_ffc8e44b,fnv1a-53cce5ca,0-30,0,30,3,1,176,2,0,2.6667,56.6667,3.4,2,32,-0.5666
balanced_default,fnv1a-407f57e7,30-60,30,60,3,1,402.3333,14,1,19.6667,441,0,14,50,162.4867
centered_candidate_000027_dcf32298,fnv1a-174bba5c,30-60,30,60,3,1,390.6667,15.3333,1,18.6667,434.6667,1,15.3333,50,160.8933
centered_candidate_000003_a9b64b1a,fnv1a-22c96cf9,30-60,30,60,3,1,371.3333,12.3333,1,17.3333,396,0.2,12.3333,50,157.2266
centered_candidate_000022_0f80325e,fnv1a-daff60fe,30-60,30,60,3,1,391.6667,14.3333,1,19,423.6667,2.6,14.3333,50,157.1266
centered_candidate_000013_a676e887,fnv1a-97576d40,30-60,30,60,3,1,375,12.3333,1,17.6667,384.6667,0.4,12.3333,50,156.9733
centered_candidate_000005_05e736e1,fnv1a-97b55922,30-60,30,60,3,1,394.6667,14,1,19.3333,426,2.8,14,50,156.8133
centered_candidate_000040_24493ed9,fnv1a-5d04d510,30-60,30,60,3,1,389.6667,12.6667,1,19,406.3333,2.2,12.6667,50,155.8334
centered_candidate_000010_1905dd38,fnv1a-7b78b95d,30-60,30,60,3,1,358.6667,11.6667,1,16.3333,370.6667,0,11.6667,50,155.4133
centered_candidate_000036_8c7a9057,fnv1a-e8def6f2,30-60,30,60,3,1,358.3333,12,1,16.3333,370,0.8,12,50,154.2933
centered_candidate_000030_2a6cc931,fnv1a-f1882852,30-60,30,60,3,1,373,12.6667,1,17.6667,387.6667,2.6,12.6667,50,153.4067
centered_candidate_000039_b543d625,fnv1a-4ba223d1,30-60,30,60,3,1,345.6667,11,1,15.3333,342.6667,0,11,50,153.1866
centered_candidate_000001_cfa9d5e6,fnv1a-258be7e4,30-60,30,60,3,1,356.3333,11.3333,1,16.3333,363,1.2,11.3333,50,152.7666
centered_candidate_000006_ec075e3b,fnv1a-1a994252,30-60,30,60,3,1,367.6667,12,1,17.3333,384,2.4,12,50,152.6933
centered_candidate_000015_1c8f8d1e,fnv1a-84ea2dcf,30-60,30,60,3,1,395.3333,13.6667,1,19.6667,434.6667,5.2,13.6667,50,152.6667
centered_candidate_000024_9eb89baf,fnv1a-e28ee06e,30-60,30,60,3,1,345.3333,11,1,15.3333,333.3333,0.2,11,50,152.64
centered_candidate_000016_e315fcdf,fnv1a-0ce049f9,30-60,30,60,3,1,359,10.6667,1,16.6667,369.3333,1.6,10.6667,50,151.8401
centered_candidate_000037_81620e31,fnv1a-48652932,30-60,30,60,3,1,369.3333,14.3333,1,17.3333,386.6667,4.4,14.3333,50,151.4799
centered_candidate_000004_e6a62ce5,fnv1a-d79e1589,30-60,30,60,3,1,367.3333,12.3333,1,17.3333,415.6667,3.8,12.3333,50,151.1399
centered_candidate_000009_7da1a228,fnv1a-60dd7355,30-60,30,60,3,1,379.3333,14,1,18.3333,402.6667,5.4,14,50,150.6666
centered_candidate_000021_0b6d45d3,fnv1a-667c2ea0,30-60,30,60,3,1,339,9.6667,1,15,341.6667,0.6,9.6667,50,150.42
centered_candidate_000029_0e0ff23c,fnv1a-fb4971ac,30-60,30,60,3,1,351,11,1,16,364,2.2,11,50,150.32
centered_candidate_000014_17d7cdc0,fnv1a-bea7dc3a,30-60,30,60,3,1,355,12.3333,1,16.3333,383.3333,3.4,12.3333,50,150.2133
