candidateId,strategyProfileHash,phaseId,startSeconds,endSeconds,runs,survivalRate,avgScoreGain,avgExpGain,avgLevelGain,avgKills,avgDamageDealt,avgDamageTaken,avgPickupsCollected,avgEnemiesSpawned,phaseFitnessScore
centered_candidate_000002_980cc24b,fnv1a-62eed3e5,0-30,0,30,3,1,162.6667,1,0,1.3333,33.3333,0,1,32,2.2666
centered_candidate_000004_ef747119,fnv1a-c0e3ea54,0-30,0,30,3,1,162.6667,1,0,1.3333,30,0,1,32,2.2666
centered_candidate_000027_ed20b9f5,fnv1a-2668bb9f,0-30,0,30,3,1,162.6667,1,0,1.3333,30,0,1,32,2.2666
centered_candidate_000030_65761f26,fnv1a-ca933332,0-30,0,30,3,1,162.6667,1,0,1.3333,30,0,1,32,2.2666
centered_candidate_000012_3511e82b,fnv1a-d110ee85,0-30,0,30,3,1,158.6667,1,0,1,23.3333,0,1,32,2
centered_candidate_000036_8e6074a7,fnv1a-4532332a,0-30,0,30,3,1,158.6667,1,0,1,23.3333,0,1,32,2
centered_candidate_000010_af384b9f,fnv1a-270d5369,0-30,0,30,3,1,162,0.6667,0,1.3333,30,0,0.6667,32,1.8667
centered_candidate_000025_f3769969,fnv1a-deb359d7,0-30,0,30,3,1,162,0.6667,0,1.3333,33.3333,0,0.6667,32,1.8667
centered_candidate_000001_d8f7ec90,fnv1a-6c4d9593,0-30,0,30,3,1,158,0.6667,0,1,20,0,0.6667,32,1.6
centered_candidate_000003_710df30f,fnv1a-ee95f441,0-30,0,30,3,1,158,0.6667,0,1,23.3333,0,0.6667,32,1.6
centered_candidate_000005_c1a24536,fnv1a-0423ee2e,0-30,0,30,3,1,158,0.6667,0,1,23.3333,0,0.6667,32,1.6
centered_candidate_000006_37069234,fnv1a-ec66720d,0-30,0,30,3,1,158,0.6667,0,1,23.3333,0,0.6667,32,1.6
centered_candidate_000007_3baeb629,fnv1a-4d50f3e8,0-30,0,30,3,1,158,0.6667,0,1,20,0,0.6667,32,1.6
