phaseId,rank,candidateId,strategyProfileHash,phaseFitnessScore,survivalRate,avgScoreGain,avgExpGain,avgLevelGain,avgKills,avgDamageDealt,avgDamageTaken,avgPickupsCollected,avgEnemiesSpawned
0-30,1,centered_candidate_000002_980cc24b,fnv1a-62eed3e5,2.2666,1,162.6667,1,0,1.3333,33.3333,0,1,32
0-30,2,centered_candidate_000004_ef747119,fnv1a-c0e3ea54,2.2666,1,162.6667,1,0,1.3333,30,0,1,32
0-30,3,centered_candidate_000027_ed20b9f5,fnv1a-2668bb9f,2.2666,1,162.6667,1,0,1.3333,30,0,1,32
0-30,4,centered_candidate_000030_65761f26,fnv1a-ca933332,2.2666,1,162.6667,1,0,1.3333,30,0,1,32
0-30,5,centered_candidate_000012_3511e82b,fnv1a-d110ee85,2,1,158.6667,1,0,1,23.3333,0,1,32
30-60,1,centered_candidate_000004_ef747119,fnv1a-c0e3ea54,150.44,1,372.6667,11,1,18,414,3.8,11,50
30-60,2,centered_candidate_000003_710df30f,fnv1a-ee95f441,149.6133,1,397,14,1,20,446.6667,7.4,14,50
30-60,3,centered_candidate_000010_af384b9f,fnv1a-270d5369,148.9001,1,368.6667,11.6667,1,17.6667,428.3333,5,11.6667,50
30-60,4,centered_candidate_000020_5f99bc6d,fnv1a-5c9dcc0c,147.5866,1,360.3333,11.3333,1,17,394.6667,4.8,11.3333,50
30-60,5,centered_candidate_000012_3511e82b,fnv1a-d110ee85,146.82,1,360,12.3333,1,17,414.3333,6,12.3333,50
