strategyId,generationMethod,phaseId,startSeconds,endSeconds,baselineFitnessScore,phasedFitnessScore,deltaFitnessScore,baselineSurvivalRate,phasedSurvivalRate,deltaSurvivalRate,baselineAvgScoreGain,phasedAvgScoreGain,deltaAvgScoreGain,baselineAvgExpGain,phasedAvgExpGain,deltaAvgExpGain,baselineAvgKills,phasedAvgKills,deltaAvgKills,baselineAvgDamageTaken,phasedAvgDamageTaken,deltaAvgDamageTaken,improved
searched_top1-phased_8afd1afd,top1-phased,0-30,0,30,1.2,2.2666,1.0666,1,1,0,157.6667,162.6667,5,0.3333,1,0.6667,1,1.3333,0.3333,0,0,0,true
searched_top1-phased_8afd1afd,top1-phased,30-60,30,60,154.2067,140.3067,-13.9,1,1,0,385,376.3333,-8.6667,14,14.3333,0.3333,18.6667,18.6667,0,4,11.8,7.8,false
searched_top5-average-phased_cefaddb3,top5-average-phased,0-30,0,30,1.2,2.2666,1.0666,1,1,0,157.6667,162.6667,5,0.3333,1,0.6667,1,1.3333,0.3333,0,0,0,true
searched_top5-average-phased_cefaddb3,top5-average-phased,30-60,30,60,154.2067,146.86,-7.3467,1,1,0,385,368.6667,-16.3333,14,13.3333,-0.6667,18.6667,17.6667,-1,4,7,3,false
searched_top10-average-phased_70ec5fac,top10-average-phased,0-30,0,30,1.2,2,0.8,1,1,0,157.6667,158.6667,1,0.3333,1,0.6667,1,1,0,0,0,0,true
searched_top10-average-phased_70ec5fac,top10-average-phased,30-60,30,60,154.2067,144.68,-9.5267,1,1,0,385,366.6667,-18.3333,14,13.3333,-0.6667,18.6667,17.6667,-1,4,8.4,4.4,false
searched_top10-median-phased_26a13b58,top10-median-phased,0-30,0,30,1.2,2.2666,1.0666,1,1,0,157.6667,162.6667,5,0.3333,1,0.6667,1,1.3333,0.3333,0,0,0,true
searched_top10-median-phased_26a13b58,top10-median-phased,30-60,30,60,154.2067,147.6266,-6.5801,1,1,0,385,371.3333,-13.6667,14,12.3333,-1.6667,18.6667,18,-0.6667,4,6.4,2.4,false
searched_topN-median-phased_e96d1bf1,topN-median-phased,0-30,0,30,1.2,2.2666,1.0666,1,1,0,157.6667,162.6667,5,0.3333,1,0.6667,1,1.3333,0.3333,0,0,0,true
searched_topN-median-phased_e96d1bf1,topN-median-phased,30-60,30,60,154.2067,147.8266,-6.3801,1,1,0,385,364.6667,-20.3333,14,12,-2,18.6667,17.3333,-1.3334,4,5.4,1.4,false
