candidateId,strategyProfileHash,phaseId,startSeconds,endSeconds,runs,survivalRate,avgScoreGain,avgExpGain,avgLevelGain,avgKills,avgDamageDealt,avgDamageTaken,avgPickupsCollected,avgEnemiesSpawned,phaseFitnessScore
search_candidate_000001_64abc8f5,fnv1a-13d3cf1a,30-60,30,60,3,1,376,15.3333,1,18.3333,426.6667,9.8,15.3333,50,144.5599
search_candidate_000011_1ec5245d,fnv1a-54f2ae82,30-60,30,60,3,1,364,14.3333,1,17.3333,396.6667,8.4,14.3333,50,144.4799
search_candidate_000030_eb6aae2f,fnv1a-86f9b811,30-60,30,60,3,1,370,13,1,18,409.6667,8.6,13,50,143.7133
search_candidate_000029_f73a716e,fnv1a-f5981e46,30-60,30,60,3,1,386.3333,14.6667,1,19.3333,413.3333,10.6,14.6667,50,143.1867
search_candidate_000004_1d3dc711,fnv1a-af12a67f,30-60,30,60,3,1,369.3333,14.3333,1,18,396.6667,10.6,14.3333,50,141.1866
search_candidate_000018_2a75e07f,fnv1a-69b5713c,30-60,30,60,3,1,389.3333,16.6667,1,19.6667,456.6667,13.6,16.6667,50,140.9867
search_candidate_000016_69307a26,fnv1a-362e59ee,30-60,30,60,3,1,358,12.3333,1,17.3333,396.6667,11,12.3333,50,137.7999
search_candidate_000005_ddec4ff0,fnv1a-d2e11e40,30-60,30,60,3,1,336,8.6667,1,15.6667,367.6667,8,8.6667,50,137.2867
search_candidate_000003_928ff027,fnv1a-d47e2835,30-60,30,60,3,1,423.3333,12.3333,1,23.3333,509.6667,16.8,12.3333,50,135.6199
search_candidate_000014_96c86c6d,fnv1a-dbc1e1b8,30-60,30,60,3,1,368,13,1,18.3333,414.6667,13.8,13,50,134.7866
search_candidate_000012_a0643f87,fnv1a-47286a9c,30-60,30,60,3,1,309.3333,10,1,13.3333,313.3333,8.8,10,50,133.76
search_candidate_000023_2cbe6072,fnv1a-8c941e9f,30-60,30,60,3,1,360.3333,14,1,17.6667,424,14.8,14,50,133.5067
search_candidate_000021_698d997a,fnv1a-6a3dcce9,30-60,30,60,3,1,363.3333,15,1,18,427.3333,16.8,15,50,131.3067
search_candidate_000017_39066f36,fnv1a-4c9d9ded,30-60,30,60,3,1,436.3333,14.3333,1,25,513.3333,24.8,14.3333,50,124.96
search_candidate_000009_7993c6ac,fnv1a-4fce7085,30-60,30,60,3,1,369.6667,15.6667,1,19,442.6667,22,15.6667,50,123.92
search_candidate_000024_412626f3,fnv1a-ade6546b,30-60,30,60,3,1,345.6667,13.6667,1,17,398.3333,19.8,13.6667,50,122.9934
search_candidate_000028_f9b8031c,fnv1a-70991eae,30-60,30,60,3,1,347.6667,12.6667,1,17.3333,410,20.2,12.6667,50,121.84
search_candidate_000013_21bebb41,fnv1a-b20c3b4e,30-60,30,60,3,1,258.6667,7,0.3333,14.6667,329.3333,13.4,7,50,44.1294
search_candidate_000019_f27db81e,fnv1a-d29afae3,30-60,30,60,3,1,170.3333,5.6667,0.3333,10,256.6667,38.8,5.6667,50,-9.044
