phaseId,startSeconds,endSeconds,baselineFitnessScore,phasedFitnessScore,deltaFitnessScore,baselineSurvivalRate,phasedSurvivalRate,deltaSurvivalRate,baselineAvgScoreGain,phasedAvgScoreGain,deltaAvgScoreGain,baselineAvgExpGain,phasedAvgExpGain,deltaAvgExpGain,baselineAvgKills,phasedAvgKills,deltaAvgKills,baselineAvgDamageTaken,phasedAvgDamageTaken,deltaAvgDamageTaken,improved
0-30,0,30,3.8667,5.3334,1.4667,1,1,0,175.6667,181,5.3333,1.6667,2.6667,1,2.3333,2.6667,0.3334,0,0,0,true
30-60,30,60,151.9467,149.88,-2.0667,1,1,0,364.3333,367.6667,3.3334,13,14,1,17,17.3333,0.3333,3.4,5.4,2,false
