candidateId,strategyVariantId,runs,scenarioCount,avgScore,medianScore,p10Score,p90Score,completionRate,avgSurvivalTimeSeconds,avgLevel,avgKills,avgDamageTaken,damageWindowPassRate,avgDamageWindowViolationCount,avgMaxDamageWindowRatio,damageSafetyPenalty,scoreStdDev,consistencyScore,generalFitnessScore
search_candidate_000136_cf90ef17,random-phased,240,240,1004.875,971.5,584.9,1521.8,0.7833,115.65,3.0958,44.6375,68.9,0.1375,1.4125,0.4175,10358.8958,366.0029,401.8985,-7690.2181
search_candidate_000201_04489f59,random-phased,240,240,1003.3167,997,587.6,1444.1,0.8917,118.5531,3.1667,43.3125,68.8292,0.0958,1.5917,0.3387,10510.6708,323.6538,425.7731,-7711.8383
centered_candidate_000180_ab48d3f7,centered-gaussian,240,240,1018.2292,991.5,607.5,1511.1,0.9292,118.769,3.175,44.1792,67,0.0625,1.575,0.3564,10592.6333,340.3361,437.332,-7731.5547
search_candidate_000144_42a651e4,random-phased,240,240,1015.9542,998,606.2,1481.2,0.9208,118.7771,3.1958,43.8708,67.3292,0.0792,1.6167,0.3371,10594.1125,328.252,442.074,-7739.0154
search_candidate_000091_f108c717,random-phased,240,240,1053.5708,1004,612.5,1593.1,0.8958,118.6204,3.2833,46.1667,65.625,0.0792,1.6208,0.3341,10611.2625,365.179,429.9105,-7742.8941
centered_candidate_000188_19d7732c,centered-gaussian,240,240,1008.1583,985.5,585.9,1432,0.8958,117.6175,3.1458,43.9667,65.4,0.0625,1.5708,0.3572,10557.4375,340.8788,415.4606,-7760.1516
search_candidate_000184_49854a75,random-phased,240,240,945.6958,900,566.8,1440.9,0.6958,114.354,2.95,42.2917,74.1792,0.1667,1.2833,0.4642,10241.25,340.9629,396.3185,-7764.4734
search_candidate_000048_74777e6f,random-phased,240,240,1006.375,959.5,585.7,1527.3,0.7958,115.3675,3.1167,44.7417,69.7125,0.1333,1.3792,0.4376,10452.2875,371.4118,399.9941,-7776.0515
centered_candidate_000130_b5b82026,centered-gaussian,240,240,958.4792,918,541.8,1499.2,0.6458,112.8654,3.0833,42.6208,80.3542,0.1583,1.2625,0.4925,10219.7042,358.3671,362.6164,-7794.6251
centered_candidate_000058_dbd2782b,centered-gaussian,240,240,1015.7542,993,594.9,1504.4,0.8792,118.8717,3.1625,44,65.9,0.0708,1.5708,0.3538,10636.5333,340.5904,424.6048,-7837.3106
centered_candidate_000191_978db3f2,centered-gaussian,240,240,1025.7167,1015,604.6,1484,0.9083,118.4383,3.2125,44.5333,65.6708,0.0667,1.625,0.3446,10721.65,343.3075,432.9463,-7865.0815
centered_candidate_000057_840c2769,centered-gaussian,240,240,1001.0958,994.5,579.9,1449.6,0.8708,117.7179,3.1292,43.4667,64.4583,0.1,1.5958,0.3446,10632.1042,342.8979,408.451,-7867.5846
search_candidate_000058_66aeba23,random-phased,240,240,918.1875,862.5,530.8,1437.4,0.7,112.9969,2.8667,41.2292,74.8625,0.15,1.2375,0.5011,10279.65,340.2662,360.6669,-7873.6257
centered_candidate_000032_d45f1652,centered-gaussian,240,240,967.6125,936.5,542.7,1490.3,0.6792,112.8635,3.1292,43.0417,78.7,0.15,1.2833,0.4951,10357.1417,376.8318,354.2841,-7883.3189
centered_candidate_000125_cd19df82,centered-gaussian,240,240,1011.7,981,601.9,1481.5,0.9167,118.8819,3.1417,44.075,66.65,0.0625,1.5792,0.3595,10720.2417,343.7546,430.0227,-7888.6059
centered_candidate_000078_2de66199,centered-gaussian,240,240,1011.6458,996,598.9,1457.9,0.8708,118.2433,3.1708,43.8167,67.0625,0.0875,1.5667,0.3589,10688.8167,330.716,433.542,-7895.3607
centered_candidate_000196_daecb6f3,centered-gaussian,240,240,982.05,886,548.8,1591.8,0.6292,112.7315,3.1958,43.7958,81.1583,0.1667,1.2042,0.5242,10316.3917,390.7062,353.4469,-7901.2762
centered_candidate_000139_78e5c789,centered-gaussian,240,240,1019.5333,985,590.9,1563.4,0.8792,117.9927,3.175,44.4208,66.875,0.1042,1.6583,0.3238,10722.2583,345.3862,418.2069,-7927.4156
