candidateId,strategyVariantId,runs,scenarioCount,avgExp,medianExp,p10Exp,p90Exp,expStdDev,avgScore,medianScore,p10Score,p90Score,completionRate,avgSurvivalTimeSeconds,avgLevel,avgKills,avgDamageDealt,medianDamageDealt,p10DamageDealt,p90DamageDealt,avgDamageTaken,damageWindowPassRate,avgDamageWindowViolationCount,avgMaxDamageWindowRatio,damageSafetyPenalty,damageDealtStdDev,scoreStdDev,consistencyScore,generalFitnessScore
centered_candidate_000027_c39abdf1,centered-gaussian,90,90,43.8333,30,10.9,91.1,36.7061,988.8222,794.5,445.3,1861.6,0.4444,101.9061,3.3,45.6778,1399.8778,1091.5,572.5,2813.3,86.6778,0.1111,1.6444,0.5254,13148.5889,863.1236,586.4708,-7.4531,43.8333
centered_candidate_000019_bbc64527,centered-gaussian,90,90,43.8222,32,10,87.2,36.7912,989.7778,791.5,457.1,1949.7,0.4111,101.1367,3.3222,46.2556,1413.5667,1094,554.9,2959.8,91.9556,0.0778,1.8667,0.5288,14509,884.3561,576.1082,-8.3956,43.8222
centered_candidate_000126_9ddea22c,centered-gaussian,90,90,43.8222,31,11.7,99.4,34.9821,980.2,792.5,423.5,1892.8,0.4333,101.9022,3.3111,45.3111,1397.8556,1113,557.3,2986.7,90.3,0.1111,1.7,0.532,13682.4222,837.375,562.0898,-5.791,43.8222
centered_candidate_000090_d99a851e,centered-gaussian,90,90,43.8111,30.5,10.9,97.6,35.9054,1003.7889,791.5,439.5,2040.5,0.4778,102.4561,3.3222,47.0222,1442.9222,1087,532.5,3170.9,90.2778,0.1,1.6667,0.5321,13409.0778,916.0353,606.6148,-7.0527,43.8111
centered_candidate_000018_4d24a6fe,centered-gaussian,90,90,43.7889,31.5,10.8,104.1,35.7188,996,824,406.9,2035.3,0.4889,101.9367,3.3111,45.9333,1410.8111,1069,548,2872,86.1333,0.1556,1.6333,0.5133,13071.2778,870.1491,578.178,-7.0594,43.7889
centered_candidate_000083_26676e3f,centered-gaussian,90,90,43.7,31,11,96.5,34.6065,993.8889,797.5,455.9,1796.6,0.4667,102.7711,3.3444,45.7889,1443.2556,1111.5,568.6,3088.9,91.4556,0.1556,1.6778,0.5368,13515.2333,888.4956,571.7473,-6.3033,43.7
centered_candidate_000005_e51f9045,centered-gaussian,90,90,43.6778,31.5,11,92.3,37.7041,985.1444,770.5,446.6,1898.4,0.4333,101.9828,3.2333,46.1889,1414.0556,1066.5,631.2,3036.9,90.2667,0.0889,1.7333,0.5271,13819.7111,884.6161,593.9899,-7.852,43.6778
centered_candidate_000116_9bfa5d42,centered-gaussian,90,90,43.6778,31,9,101.6,37.0896,980.6,761,370.9,2007.9,0.4333,99.6756,3.3333,45.6889,1402.2333,1070.5,463.9,3108.2,90.5444,0.0889,1.6444,0.549,13498.2222,928.2723,612.788,-9.5448,43.6778
centered_candidate_000152_61b64b8e,centered-gaussian,90,90,43.6778,32,10,109,37.1961,979.7556,766.5,421.8,1948.2,0.3889,100.4494,3.2667,46.0889,1395.6333,1085,531.7,2866.2,92.3444,0.1,1.7222,0.5393,13906.1,888.249,605.1561,-8.5981,43.6778
general_top10-median-phased_07ea4c0d,top10-median-phased,90,90,43.6222,30.5,11.9,89.1,33.938,996.4222,807,461.2,2005.5,0.4333,102.7044,3.3444,46.1889,1433.2444,1096,572.6,3039.4,91.3778,0.1444,1.7889,0.5188,14073.2667,888.2869,570.4314,-5.069,43.6222
general_topN-median-phased_0be88c92,topN-median-phased,90,90,43.6222,30.5,11.9,89.1,33.938,996.4222,807,461.2,2005.5,0.4333,102.7044,3.3444,46.1889,1433.2444,1096,572.6,3039.4,91.3778,0.1444,1.7889,0.5188,14073.2667,888.2869,570.4314,-5.069,43.6222
centered_candidate_000099_93b341ab,centered-gaussian,90,90,43.5778,30,10.9,88.1,36.7952,996.5,813,453.7,2060.7,0.4111,101.4094,3.3667,46.1444,1400.9778,1103,587.7,3121.5,89.3778,0.1,1.6444,0.5462,13464.6778,905.0267,607.478,-7.4976,43.5778
centered_candidate_000077_5c16cc00,centered-gaussian,90,90,43.5556,30,11,90.4,39.208,969.6889,806.5,442.4,2028,0.4,100.9517,3.3,44.8667,1390.7667,1109,543.3,3199.4,92.0111,0.1222,1.7333,0.535,13933.2333,893.8718,567.3925,-8.604,43.5556
centered_candidate_000041_451d6368,centered-gaussian,90,90,43.5444,31.5,12.7,94.5,36.432,1005.4111,810,465.3,2028.3,0.5,102.7272,3.2889,46.8111,1418.3333,1088.5,570.7,3075.1,85.8333,0.1444,1.6222,0.5105,13012.1333,878.2754,598.2107,-5.516,43.5444
centered_candidate_000021_8aeffcb0,centered-gaussian,90,90,43.5222,29.5,9.9,100.4,36.8155,978.5222,789.5,403.9,1970.8,0.4444,100.5644,3.3333,45.6111,1395.8889,1061,492.7,2914.2,92.9889,0.0889,1.6889,0.5552,13753.2444,879.3609,582.9561,-8.5078,43.5222
centered_candidate_000106_4eccfc61,centered-gaussian,90,90,43.5222,30.5,11,90.4,36.0337,985.5222,792.5,428.9,2051.9,0.4333,101.285,3.3111,46.0444,1415.1778,1069,553.3,2973.9,91.4,0.0889,1.7,0.5471,13734.2222,917.452,592.5831,-7.0168,43.5222
centered_candidate_000159_2a2ad7c6,centered-gaussian,90,90,43.4889,30,10,101.6,36.4067,993.0556,775,428.3,1983.2,0.4222,101.0356,3.3,46.4778,1405.8556,1092,532,3040.1,90.2667,0.1222,1.6667,0.5325,13535.1889,898.9585,612.4769,-8.2034,43.4889
centered_candidate_000137_f59c751f,centered-gaussian,90,90,43.4778,28.5,10.9,94.2,37.1152,969.0222,783.5,455.1,1951.9,0.4,101.1872,3.2556,45.3,1394.4667,1087.5,543.8,2693.3,92.8222,0.1444,1.7222,0.5177,13892.2889,857.5364,566.5489,-7.6576,43.4778
