"skin","state","target","source_state","source_direction","source","mirror","status","reason"
"assassin_default","walk","walk_up.png","walk","up","walk_up.png","False","kept","kept-original"
"assassin_default","walk","walk_up_right.png","walk","up_left","walk_up_left.png","True","mirrored","mirror original walk_up_left for up_right"
"assassin_default","walk","walk_right.png","walk","right","walk_right.png","False","kept","kept-original"
"assassin_default","walk","walk_down_right.png","walk","down_left","walk_down_left.png","False","copied","manual-check: original walk_down_left is down_right"
"assassin_default","walk","walk_down.png","walk","down","walk_down.png","False","kept","kept-original"
"assassin_default","walk","walk_down_left.png","walk","up_right","walk_up_right.png","False","copied","manual-check: original walk_up_right is down_left"
"assassin_default","walk","walk_left.png","walk","left","walk_left.png","False","kept","kept-original"
"assassin_default","walk","walk_up_left.png","walk","up_left","walk_up_left.png","False","kept","kept-original"
"assassin_default","idle","idle_up.png","idle","up","idle_up.png","False","kept","kept-original"
"assassin_default","idle","idle_up_right.png","idle","up_left","idle_up_left.png","True","mirrored","mirror original idle_up_left for up_right"
"assassin_default","idle","idle_right.png","idle","right","idle_right.png","False","kept","kept-original"
"assassin_default","idle","idle_down_right.png","idle","up_right","idle_up_right.png","True","mirrored","mirror original idle_up_right because it is down_left"
"assassin_default","idle","idle_down.png","idle","down","idle_down.png","False","kept","kept-original"
"assassin_default","idle","idle_down_left.png","idle","up_right","idle_up_right.png","False","copied","manual-check: original idle_up_right is down_left"
"assassin_default","idle","idle_left.png","idle","left","idle_left.png","False","kept","kept-original"
"assassin_default","idle","idle_up_left.png","idle","up_left","idle_up_left.png","False","kept","kept-original"
"priest_default","walk","walk_up.png","walk","up","walk_up.png","False","kept","kept-original"
"priest_default","walk","walk_up_right.png","walk","up","walk_up.png","False","needs_regen_temp_adjacent","needs regeneration; temporary original walk_up placeholder"
"priest_default","walk","walk_right.png","walk","left","walk_left.png","True","mirrored","manual-check: original right is left; mirror original left"
"priest_default","walk","walk_down_right.png","walk","down_left","walk_down_left.png","False","copied","original walk_down_left is best down_right candidate"
"priest_default","walk","walk_down.png","walk","down","walk_down.png","False","kept","kept-original"
"priest_default","walk","walk_down_left.png","walk","down_right","walk_down_right.png","False","copied","original walk_down_right is best down_left candidate"
"priest_default","walk","walk_left.png","walk","left","walk_left.png","False","kept","kept-original"
"priest_default","walk","walk_up_left.png","walk","up","walk_up.png","False","needs_regen_temp_adjacent","needs regeneration; temporary original walk_up placeholder"
"priest_default","idle","idle_up.png","idle","up","idle_up.png","False","kept","kept-original"
"priest_default","idle","idle_up_right.png","idle","up","idle_up.png","False","needs_regen_temp_adjacent","needs regeneration; temporary original idle_up placeholder"
"priest_default","idle","idle_right.png","idle","left","idle_left.png","True","mirrored","manual-check: original right is left; mirror original left"
"priest_default","idle","idle_down_right.png","idle","down_left","idle_down_left.png","False","copied","original idle_down_left is best down_right candidate"
"priest_default","idle","idle_down.png","idle","down","idle_down.png","False","kept","kept-original"
"priest_default","idle","idle_down_left.png","idle","down_right","idle_down_right.png","False","copied","original idle_down_right is best down_left candidate"
"priest_default","idle","idle_left.png","idle","left","idle_left.png","False","kept","kept-original"
"priest_default","idle","idle_up_left.png","idle","up","idle_up.png","False","needs_regen_temp_adjacent","needs regeneration; temporary original idle_up placeholder"
"warrior_default","walk","walk_up.png","walk","up","walk_up.png","False","kept","kept-original"
"warrior_default","walk","walk_up_right.png","walk","up_left","walk_up_left.png","True","mirrored","mirror original walk_up_left for missing true up_right"
"warrior_default","walk","walk_right.png","walk","right","walk_right.png","False","kept","kept-original"
"warrior_default","walk","walk_down_right.png","walk","up_right","walk_up_right.png","True","mirrored","mirror original walk_up_right because it is down_left"
"warrior_default","walk","walk_down.png","walk","down","walk_down.png","False","kept","kept-original"
"warrior_default","walk","walk_down_left.png","walk","up_right","walk_up_right.png","False","copied","manual-check: original walk_up_right is down_left"
"warrior_default","walk","walk_left.png","walk","left","walk_left.png","False","kept","kept-original"
"warrior_default","walk","walk_up_left.png","walk","up_left","walk_up_left.png","False","kept","kept-original"
"warrior_default","idle","idle_up.png","idle","up","idle_up.png","False","kept","kept-original"
"warrior_default","idle","idle_up_right.png","idle","up_left","idle_up_left.png","True","mirrored","mirror original idle_up_left for missing true up_right"
"warrior_default","idle","idle_right.png","idle","right","idle_right.png","False","kept","kept-original"
"warrior_default","idle","idle_down_right.png","idle","up_right","idle_up_right.png","True","mirrored","mirror original idle_up_right because it is down_left"
"warrior_default","idle","idle_down.png","idle","down","idle_down.png","False","kept","kept-original"
"warrior_default","idle","idle_down_left.png","idle","up_right","idle_up_right.png","False","copied","manual-check: original idle_up_right is down_left"
"warrior_default","idle","idle_left.png","idle","left","idle_left.png","False","kept","kept-original"
"warrior_default","idle","idle_up_left.png","idle","up_left","idle_up_left.png","False","kept","kept-original"
"witch_default","walk","walk_up.png","walk","up","walk_up.png","False","kept","kept-original"
"witch_default","walk","walk_up_right.png","walk","up","walk_up.png","False","needs_regen_temp_adjacent","needs regeneration; temporary original walk_up placeholder"
"witch_default","walk","walk_right.png","walk","left","walk_left.png","True","mirrored","manual-check: original right is left; mirror original left"
"witch_default","walk","walk_down_right.png","walk","down_left","walk_down_left.png","False","copied","manual-check: original walk_down_left is down_right"
"witch_default","walk","walk_down.png","walk","down_right","walk_down_right.png","False","needs_regen_temp_adjacent","needs regeneration; temporary original walk_down_right placeholder"
"witch_default","walk","walk_down_left.png","walk","down_right","walk_down_right.png","False","copied","manual-check: original walk_down_right is down_left"
"witch_default","walk","walk_left.png","walk","left","walk_left.png","False","kept","kept-original"
"witch_default","walk","walk_up_left.png","walk","up","walk_up.png","False","needs_regen_temp_adjacent","needs regeneration; temporary original walk_up placeholder"
"witch_default","idle","idle_up.png","idle","up","idle_up.png","False","kept","kept-original"
"witch_default","idle","idle_up_right.png","idle","up","idle_up.png","False","needs_regen_temp_adjacent","needs regeneration; temporary original idle_up placeholder"
"witch_default","idle","idle_right.png","idle","left","idle_left.png","True","mirrored","manual-check: original right is left; mirror original left"
"witch_default","idle","idle_down_right.png","idle","down_left","idle_down_left.png","False","copied","manual-check: original idle_down_left is down_right"
"witch_default","idle","idle_down.png","idle","down_right","idle_down_right.png","False","needs_regen_temp_adjacent","needs regeneration; temporary original idle_down_right placeholder"
"witch_default","idle","idle_down_left.png","idle","down_right","idle_down_right.png","False","copied","manual-check: original idle_down_right is down_left"
"witch_default","idle","idle_left.png","idle","left","idle_left.png","False","kept","kept-original"
"witch_default","idle","idle_up_left.png","idle","up","idle_up.png","False","needs_regen_temp_adjacent","needs regeneration; temporary original idle_up placeholder"
