"skin","state","target","source","mirror","status","reason"
"priest_default","walk","walk_up_right.png","walk_up.png","False","needs_regen_temp_adjacent","needs regeneration; temporary adjacent up placeholder"
"priest_default","walk","walk_up_left.png","walk_up.png","False","needs_regen_temp_adjacent","needs regeneration; temporary adjacent up placeholder"
"priest_default","idle","idle_up_right.png","idle_up.png","False","needs_regen_temp_adjacent","needs regeneration; temporary adjacent up placeholder"
"priest_default","idle","idle_up_left.png","idle_up.png","False","needs_regen_temp_adjacent","needs regeneration; temporary adjacent up placeholder"
"warrior_default","walk","walk_down_left.png","walk_left.png","False","needs_regen_temp_adjacent","manual-check: current-down-left-is-left; temporary adjacent left placeholder"
"warrior_default","idle","idle_down_left.png","idle_left.png","False","needs_regen_temp_adjacent","manual-check: current-down-left-is-left; temporary adjacent left placeholder"
"witch_default","walk","walk_up_right.png","walk_up.png","False","needs_regen_temp_adjacent","needs regeneration; temporary adjacent up placeholder"
"witch_default","walk","walk_down.png","walk_down_right.png","False","needs_regen_temp_adjacent","needs regeneration; temporary adjacent down-right placeholder"
"witch_default","walk","walk_up_left.png","walk_up.png","False","needs_regen_temp_adjacent","needs regeneration; temporary adjacent up placeholder"
"witch_default","idle","idle_up_right.png","idle_up.png","False","needs_regen_temp_adjacent","needs regeneration; temporary adjacent up placeholder"
"witch_default","idle","idle_down.png","idle_down_right.png","False","needs_regen_temp_adjacent","needs regeneration; temporary adjacent down-right placeholder"
"witch_default","idle","idle_up_left.png","idle_up.png","False","needs_regen_temp_adjacent","needs regeneration; temporary adjacent up placeholder"
