candidateId,strategyProfileHash,phaseId,startSeconds,endSeconds,runs,survivalRate,avgScoreGain,avgExpGain,avgLevelGain,avgKills,avgDamageDealt,avgDamageTaken,avgPickupsCollected,avgEnemiesSpawned,phaseFitnessScore
search_candidate_000001_3dcb0ae4,fnv1a-cc1ab11a,0-30,0,30,3,1,184.6667,2.3333,0,3,60,0,2.3333,32,5.2
search_candidate_000017_60ca10c5,fnv1a-8da23126,0-30,0,30,3,1,180.6667,2.6667,0,2.6667,56.6667,0.2,2.6667,32,5.0334
search_candidate_000022_b8acd643,fnv1a-8447019e,0-30,0,30,3,1,180.6667,2.3333,0,2.6667,60,0,2.3333,32,4.9333
search_candidate_000034_758d0c28,fnv1a-9e07b435,0-30,0,30,3,1,184,2,0,3,63.3333,0,2,32,4.8
balanced_default,fnv1a-407f57e7,0-30,0,30,3,1,180,2,0,2.6667,53.3333,0,2,32,4.5334
search_candidate_000003_79ebbde3,fnv1a-0b91e9f4,0-30,0,30,3,1,180,2,0,2.6667,56.6667,0,2,32,4.5334
search_candidate_000016_f373d763,fnv1a-f821d1aa,0-30,0,30,3,1,180.3333,2,0,2.6667,56.6667,0,2,32,4.5334
search_candidate_000019_9d84cd41,fnv1a-58883e70,0-30,0,30,3,1,180.3333,2.3333,0,2.6667,56.6667,0.4,2.3333,32,4.3333
search_candidate_000035_07937df5,fnv1a-48d9a4c8,0-30,0,30,3,1,179.6667,2,0,2.6667,63.3333,0.2,2,32,4.2334
search_candidate_000038_a4bb761d,fnv1a-dbdd75a6,0-30,0,30,3,1,179.6667,1.6667,0,2.6667,53.3333,0,1.6667,32,4.1334
search_candidate_000029_bcd5caaa,fnv1a-3598f3aa,0-30,0,30,3,1,175.6667,1.6667,0,2.3333,53.3333,0,1.6667,32,3.8667
search_candidate_000037_f6c46ec6,fnv1a-07e867eb,0-30,0,30,3,1,176,1.6667,0,2.3333,53.3333,0,1.6667,32,3.8667
search_candidate_000039_cb24e5e2,fnv1a-c172e4de,0-30,0,30,3,1,175.6667,1.6667,0,2.3333,46.6667,0,1.6667,32,3.8667
search_candidate_000028_88474ab8,fnv1a-bf5e9b16,0-30,0,30,3,1,179.3333,1.3333,0,2.6667,53.3333,0,1.3333,32,3.7333
search_candidate_000036_b7931094,fnv1a-0a768c25,0-30,0,30,3,1,183,1.3333,0,3,60,0.2,1.3333,32,3.7
search_candidate_000026_6cb61a3b,fnv1a-b7f350d5,0-30,0,30,3,1,175.3333,1.3333,0,2.3333,53.3333,0,1.3333,32,3.4666
search_candidate_000032_66069100,fnv1a-4ea28370,0-30,0,30,3,1,175.3333,1.3333,0,2.3333,53.3333,0,1.3333,32,3.4666
search_candidate_000033_032e0d09,fnv1a-02be5a28,0-30,0,30,3,1,175,1.3333,0,2.3333,50,0,1.3333,32,3.4666
search_candidate_000013_6c47d155,fnv1a-641ca314,0-30,0,30,3,1,175,1.3333,0,2.3333,56.6667,0.2,1.3333,32,3.1666
search_candidate_000015_33c83292,fnv1a-e4149b5d,0-30,0,30,3,1,174.6667,1,0,2.3333,50,0,1,32,3.0666
search_candidate_000009_0cb5ae59,fnv1a-1c0a9f69,0-30,0,30,3,1,171,1,0,2,40,0,1,32,2.8
