candidateId,strategyVariantId,runs,scenarioCount,bossKillRate,avgExp,medianExp,p10Exp,p90Exp,expStdDev,avgScore,medianScore,p10Score,p90Score,completionRate,avgSurvivalTimeSeconds,avgLevel,avgKills,avgDamageDealt,medianDamageDealt,p10DamageDealt,p90DamageDealt,avgDamageTaken,damageWindowPassRate,avgDamageWindowViolationCount,avgMaxDamageWindowRatio,damageSafetyPenalty,damageDealtStdDev,scoreStdDev,consistencyScore,generalFitnessScore
centered_candidate_000148_57d324a7,centered-gaussian,5,5,0,1009.2,301,84.8,2399,1106.1156,8319.4,3321,1606.8,18191,0,283.34,16.2,430,22116.6,7774,3037.4,51451.2,248.4,0,4.6,0.6275,31591.8,23731.5077,7841.6117,-468.2578,1009.2
search_candidate_000161_a3d1561a,random-phased,5,5,0,963.8,50,38.2,2805,1838.6081,6979,1194,874,18925.6,0,191.42,11.6,366,24207,1917,1239.4,69583.8,189.4,0,2.6,0.7496,22511,45230.0712,11873.4587,-881.1041,963.8
centered_candidate_000057_d27a399f,centered-gaussian,5,5,0,960.4,44,37.2,2425.4,1158.4574,7680,1078,930.2,18221.2,0,238.5,14.4,400.6,20218.4,1524,1430.8,50259,224,0,3.2,0.7738,26259.8,23749.5224,8351.0509,-542.0287,960.4
centered_candidate_000138_248fae0d,centered-gaussian,5,5,0,943.8,83,58.8,2690.8,1738.1606,7108,1586,1329.4,18375,0,214.02,12.4,371,37411.6,2756,2478.4,106950.6,201.6,0,2.8,0.6439,22368.2,69380.118,11119.6222,-810.2803,943.8
centered_candidate_000071_7fa4c310,centered-gaussian,5,5,0,934.4,89,39.4,2413.2,1190.6137,7480.6,1713,935,17880.8,0,243.34,14.2,387.2,21447.2,3429,1414.8,54818.8,217.4,0,3.4,0.6849,26077,27450.6162,8297.3413,-555.9069,934.4
centered_candidate_000175_e634c2aa,centered-gaussian,5,5,0,915.6,78,58.4,2564.2,1573.9327,7077,1564,1361.6,17930.2,0,235.96,13.2,363.6,39548.2,3141,2700.6,112012.6,211.4,0,3,0.6666,23872.8,71146.6371,10231.5035,-728.5664,915.6
centered_candidate_000161_26d8f7af,centered-gaussian,5,5,0,915.4,93,48.8,2302.2,1099.2886,7468,1814,1089.4,17321.8,0,257.54,14.4,385.8,20409.4,3829,2010,49505.8,228.2,0,4.6,0.5077,31193.6,23122.983,7798.1447,-500.8443,915.4
centered_candidate_000067_7db6b416,centered-gaussian,5,5,0,915.2,89,48.6,2336.2,1137.4583,7240.4,1752,1091.6,17116,0,248,14.4,368.2,20856.4,3409,1705.2,52451.6,225.6,0,4,0.5883,28705.8,25693.7724,7920.677,-520.1291,915.2
centered_candidate_000010_94ed5196,centered-gaussian,5,5,0,910.2,95,30.6,2583.2,1614.0014,6866.8,1815,855.2,17804.4,0,220.16,12.6,353.6,32514.8,3963,1254.2,92338.4,210.8,0,3.4,0.6677,25890.8,58640.778,10354.5222,-776.4007,910.2
centered_candidate_000051_7cf4f53b,centered-gaussian,5,5,0,908,41,29.2,2646.6,1723.6168,6654.6,974,838.6,18017.8,0,195.64,11.4,347.2,32079,1565,1239.8,93132.6,195.2,0,2.6,0.7484,22232,60500.4417,11106.4609,-832.6084,908
centered_candidate_000006_0a9dd02b,centered-gaussian,5,5,0,901.2,64,39.2,2305.8,1117.5887,7350,1312,1010,17477.2,0,241.04,14,383,21832,2247,1595.6,55527,224.8,0,3.4,0.6371,25460.4,27187.9977,8029.2441,-519.5944,901.2
centered_candidate_000185_55bf8994,centered-gaussian,5,5,0,884.4,114,44,2481,1545.9877,6829.2,1925,1045.6,17439.2,0,224.68,12.6,352.6,32651.6,3437,1746.8,92324,207.4,0,3,0.6617,24121.2,58487.7608,10177.1718,-728.9938,884.4
centered_candidate_000192_d1658ee9,centered-gaussian,5,5,0,837.8,117,59.4,2329.6,1462.8172,6686.2,2027,1233,16707.4,0,234.96,12.4,346.4,22541.8,3356,2287,61412.8,209.2,0,3.2,0.6096,23943,37836.0059,9651.7896,-672.0086,837.8
centered_candidate_000068_00538666,centered-gaussian,5,5,0,836.8,115,45.2,2208,1169.0676,6766,2056,1049,16269.4,0,252.9,13.6,342.8,21615.2,4281,1720.6,56366.4,220.6,0,3.4,0.6125,25384.2,30488.0396,8022.9387,-539.3338,836.8
centered_candidate_000017_c0f25594,centered-gaussian,5,5,0,825.6,84,60.4,2337,1506.7367,6364.6,1616,1254.6,16278.8,0,207.24,11.6,331,30455.6,3141,2103.6,86285.2,205.2,0,3,0.7524,23815,55610.2226,9831.1808,-692.9683,825.6
centered_candidate_000120_561b3696,centered-gaussian,5,5,0,807.2,64,50.8,2305.2,1493.4334,6343.8,1403,1163.8,16435.4,0,206.36,11.2,333.8,27034.8,2717,2002.4,76427.6,198,0,3,0.7611,23241.8,49157.2733,10001.2186,-695.9167,807.2
centered_candidate_000107_53df2dc3,centered-gaussian,5,5,0,799,95,44.4,1914.8,902.0632,6776.2,1645,1047.6,15095.6,0,238.86,13.6,349.8,17954,2935,1686,41915.8,211.6,0,3,0.7311,24668.6,19348.0352,6736.3431,-406.6316,799
centered_candidate_000084_889a5299,centered-gaussian,5,5,0,777.4,80,38.6,2211,1412.163,6011.4,1589,985.6,15469.4,0,194.54,11.4,310.2,21012.8,2750,1392.4,58961.8,196.2,0,2.6,0.6349,22227.6,37422.739,9215.164,-667.4815,777.4
centered_candidate_000036_54e8a517,centered-gaussian,5,5,0,759.4,191,73.8,2029.4,1245.0146,6335.6,2551,1490.2,15064,0,244.96,12.6,324.8,20238.4,5687,2848.6,52417.4,218.4,0,3.8,0.5555,26633.4,31370.9978,8479.0874,-548.7073,759.4
centered_candidate_000139_7ebfca4b,centered-gaussian,5,5,0,740.6,110,54.6,1986.2,1131.2571,6247.6,1861,1229,15072.8,0,227.28,12.6,321.6,19716.2,3505,2447,51643.6,206.6,0,3.2,0.6771,24811,29581.5829,7895.6931,-511.0286,740.6
centered_candidate_000152_124c7596,centered-gaussian,5,5,0,735.6,109,79.4,1960.4,1130.884,6233.4,1934,1592.6,14766.6,0,227.24,12.8,319.6,18128.2,3447,2789.4,46838.4,206.4,0,2.8,0.7709,23131,26607.1903,7819.8032,-486.042,735.6
centered_candidate_000092_6cd402c3,centered-gaussian,5,5,0,720,96,79.8,1946.6,1167.2755,5947.8,1848,1604.2,14110.6,0,227.46,12.4,300.4,15639.8,3339,2971.6,39723.6,204.8,0,3,0.6329,23466.4,22748.7865,7672.6027,-503.8377,720
centered_candidate_000124_d0f8cc60,centered-gaussian,5,5,0,715.4,73,66.6,1970.4,1200.5363,5968.6,1589,1380.6,14644.4,0,223.36,12,306.4,20314,2899,2554.4,54650.6,206.8,0,3.2,0.6022,24433,33042.3065,8197.1792,-533.6682,715.4
centered_candidate_000095_03d27fa1,centered-gaussian,5,5,0,710.8,124,57.4,1707.6,788.9313,6118,2149,1274.8,13291.2,0,253.52,13.2,307.2,15307,4091,2578.4,34335.6,219.8,0,3.4,0.7014,26621.2,15111.2645,5683.5878,-337.0656,710.8
centered_candidate_000121_716794a0,centered-gaussian,5,5,0,689.4,298,139.2,1625.4,896.6535,5855.4,3456,2048.6,12021.4,0,259.12,13.4,284.6,18735.4,7964,4185.2,44129.8,209.4,0,4.2,0.5472,28782,24575.8193,5865.3885,-309.1267,689.4
centered_candidate_000085_bc45429b,centered-gaussian,5,5,0,686.4,65,53,1937,1240.3818,5459.6,1375,1230.8,13736.6,0,199.04,10.8,279.2,16647.2,2666,1842.8,45522.4,197,0,3.4,0.6166,25309.6,28692.1713,8187.8615,-567.1909,686.4
centered_candidate_000165_2940f69b,centered-gaussian,5,5,0,685.4,65,46.4,1934.2,1227.1549,5691.8,1369,1089.8,14502.2,0,198.86,10.6,299.6,18481.8,2800,1862.8,50635.6,191.6,0,3.2,0.6902,24164.8,31709.1074,8565.7707,-567.1774,685.4
search_candidate_000006_fbfb871e,random-phased,5,5,0,661.8,250,31.6,1529.2,694.0629,5529.8,3198,857.4,11558,0,262.16,12.8,266.6,12665.4,8223,1332.8,26813.6,228.8,0,3.4,0.6419,24863.2,11480.8558,4870.6438,-315.4315,661.8
