candidateId,strategyVariantId,runs,scenarioCount,bossKillRate,avgExp,medianExp,p10Exp,p90Exp,expStdDev,avgScore,medianScore,p10Score,p90Score,completionRate,avgSurvivalTimeSeconds,avgLevel,avgKills,avgDamageDealt,medianDamageDealt,p10DamageDealt,p90DamageDealt,avgDamageTaken,damageWindowPassRate,avgDamageWindowViolationCount,avgMaxDamageWindowRatio,damageSafetyPenalty,damageDealtStdDev,scoreStdDev,consistencyScore,generalFitnessScore
search_candidate_000244_8957680c,random-phased,5,5,0,62,51,42.4,86.8,20.3273,1332.6,1228,1008,1705.2,0,137.02,4.2,65.2,2592.4,2254,1950.6,3407.6,144.6,0,2.4,0.5659,18572.6,661.167,311.0277,32.2363,62
search_candidate_000370_c07c88f1,random-phased,5,5,0,62,59,46.2,81.8,18.6976,1322.8,1212,1060.6,1679.6,0,128.54,4.2,65.2,2309.4,2176,1835,2845.2,138.8,0,2.6,0.6192,19595.4,454.368,323.3422,36.8512,62
search_candidate_000491_84bb8544,random-phased,5,5,0,62,62,31.8,91.2,26.1457,1296.2,1304,811,1754.8,0,132.1,4,63.8,2364.8,2380,1288,3366.4,138.8,0,2.2,0.6862,18258.2,967.8782,418.0552,18.7271,62
centered_candidate_000078_f6f944a0,centered-gaussian,5,5,0,61.8,66,40,81.6,18.6805,1299.4,1373,936.6,1626,0,129.8,4,64,2349.4,2515,1516.8,3087.2,134,0,2.2,0.6744,18049.6,699.8184,309.8946,30.6598,61.8
centered_candidate_000142_c3a27435,centered-gaussian,5,5,0,61.8,42,32.4,102.6,32.5908,1214.8,1006,751.2,1805.6,0,112.38,4,60.2,1946.4,1635,920.2,3164.6,137.8,0,2,0.8092,18036,999.7807,477.0939,16.1046,61.8
search_candidate_000036_183c6eb5,random-phased,5,5,0,61.8,48,39.2,92.2,24.359,1294.4,1129,876,1818.6,0,107.94,4.2,66.8,1935.6,1655,1211.2,2804.4,144,0,2.2,0.7108,18706.2,715.8555,424.8645,27.0205,61.8
search_candidate_000039_014dbd23,random-phased,5,5,0,61.8,60,45.2,79.6,15.5486,1321.4,1272,1071,1581.8,0,132.42,4.2,64.2,2431.8,2455,1802,3048.4,136.4,0,2.6,0.5828,19606.4,635.9523,235.7139,37.4257,61.8
search_candidate_000092_5563fb4a,random-phased,5,5,0,61.8,55,47.6,79,14.2183,1302,1247,1097.8,1530.2,0,122.32,4.4,63.8,2191,2334,1723.6,2587,145.8,0,2.6,0.6523,19963,400.9973,191.7707,40.4909,61.8
centered_candidate_000147_be8ec324,centered-gaussian,5,5,0,61.6,56,33.4,97.4,31.2384,1230.2,1191,752,1796.2,0,111.3,4,61.6,1969.2,1790,928.8,3201.2,136.6,0,1.8,0.7912,16338.8,1038.1927,494.313,17.7808,61.6
search_candidate_000052_0bbd07df,random-phased,5,5,0,61.6,63,27.8,94.8,29.7698,1266.2,1384,713,1753,0,122.04,4.2,64,2142.8,2148,1029.6,3256,162.8,0,2,0.7656,18149.8,979.8511,465.7361,12.9151,61.6
search_candidate_000225_362df10c,random-phased,5,5,0,61.6,65,37.4,84.8,20.9151,1270,1333,878.4,1638,0,125.1,4,63,2380,2505,1677.2,3102,140.8,0,2.8,0.5949,20566.8,658.6844,335.5694,26.9425,61.6
search_candidate_000399_e7dfdb14,random-phased,5,5,0,61.6,55,34,98.8,33.0491,1245.6,1222,815.6,1770.2,0,116.86,4,63.6,1924.8,1640,1159.8,2983.6,153,0,2.4,0.6285,19782.4,907.2643,470.7274,17.4755,61.6
