phaseId,rank,candidateId,strategyProfileHash,phaseFitnessScore,survivalRate,avgScoreGain,avgExpGain,avgLevelGain,avgKills,avgDamageDealt,avgDamageTaken,avgPickupsCollected,avgEnemiesSpawned
0-30,1,centered_candidate_000004_3c0f6d85,fnv1a-96ceeb8b,5.3334,1,181,2.6667,0,2.6667,56.6667,0,2.6667,32
0-30,2,centered_candidate_000009_38255bf5,fnv1a-e339fe14,5.3334,1,181,2.6667,0,2.6667,56.6667,0,2.6667,32
0-30,3,centered_candidate_000017_f5a39e03,fnv1a-2064901a,5.3334,1,181,2.6667,0,2.6667,53.3333,0,2.6667,32
0-30,4,centered_candidate_000021_94339da4,fnv1a-1dad5dc2,5.3334,1,181,2.6667,0,2.6667,56.6667,0,2.6667,32
0-30,5,centered_candidate_000026_ebc08ee4,fnv1a-ea91a105,5.3334,1,181,2.6667,0,2.6667,56.6667,0,2.6667,32
30-60,1,centered_candidate_000013_0210fb8b,fnv1a-d9fcc853,159.6534,1,382,14.6667,1,18,403.3333,0.6,14.6667,50
30-60,2,centered_candidate_000010_40325819,fnv1a-bd0e1a8a,158.6734,1,388.3333,14.6667,1,18.6667,429,1.8,14.6667,50
30-60,3,centered_candidate_000027_35aca95c,fnv1a-151c0407,156.4134,1,387.3333,15,1,18.6667,425.3333,3.2,15,50
30-60,4,centered_candidate_000016_1cfcdd98,fnv1a-2ec1748d,154.9201,1,372.6667,11.6667,1,17.6667,405.3333,1.4,11.6667,50
30-60,5,centered_candidate_000008_7e955cea,fnv1a-6b330da9,154.4866,1,392.3333,13.3333,1,19.3333,433,3.8,13.3333,50
