candidateId,strategyProfileHash,phaseId,startSeconds,endSeconds,runs,survivalRate,avgScoreGain,avgExpGain,avgLevelGain,avgKills,avgDamageDealt,avgDamageTaken,avgPickupsCollected,avgEnemiesSpawned,phaseFitnessScore
centered_candidate_000004_3c0f6d85,fnv1a-96ceeb8b,0-30,0,30,3,1,181,2.6667,0,2.6667,56.6667,0,2.6667,32,5.3334
centered_candidate_000009_38255bf5,fnv1a-e339fe14,0-30,0,30,3,1,181,2.6667,0,2.6667,56.6667,0,2.6667,32,5.3334
centered_candidate_000017_f5a39e03,fnv1a-2064901a,0-30,0,30,3,1,181,2.6667,0,2.6667,53.3333,0,2.6667,32,5.3334
centered_candidate_000021_94339da4,fnv1a-1dad5dc2,0-30,0,30,3,1,181,2.6667,0,2.6667,56.6667,0,2.6667,32,5.3334
centered_candidate_000026_ebc08ee4,fnv1a-ea91a105,0-30,0,30,3,1,181,2.6667,0,2.6667,56.6667,0,2.6667,32,5.3334
centered_candidate_000003_d4fd7270,fnv1a-559461c7,0-30,0,30,3,1,180.6667,2.3333,0,2.6667,56.6667,0,2.3333,32,4.9333
centered_candidate_000007_670920f8,fnv1a-bd24e5e7,0-30,0,30,3,1,180.6667,2.3333,0,2.6667,56.6667,0,2.3333,32,4.9333
centered_candidate_000013_0210fb8b,fnv1a-d9fcc853,0-30,0,30,3,1,180.6667,2.3333,0,2.6667,56.6667,0,2.3333,32,4.9333
centered_candidate_000014_8c501363,fnv1a-e5957947,0-30,0,30,3,1,180.6667,2.3333,0,2.6667,56.6667,0,2.3333,32,4.9333
centered_candidate_000024_d9653e98,fnv1a-48002b7c,0-30,0,30,3,1,180.6667,2.3333,0,2.6667,56.6667,0,2.3333,32,4.9333
centered_candidate_000025_f9522645,fnv1a-3f4f1309,0-30,0,30,3,1,180.6667,2.3333,0,2.6667,56.6667,0,2.3333,32,4.9333
centered_candidate_000027_35aca95c,fnv1a-151c0407,0-30,0,30,3,1,180.6667,2.3333,0,2.6667,56.6667,0,2.3333,32,4.9333
centered_candidate_000029_fe1ae582,fnv1a-fa90056c,0-30,0,30,3,1,180.6667,2.3333,0,2.6667,56.6667,0,2.3333,32,4.9333
centered_candidate_000030_54f7211a,fnv1a-8af08d0e,0-30,0,30,3,1,180.6667,2.3333,0,2.6667,56.6667,0,2.3333,32,4.9333
centered_candidate_000011_7f0b6569,fnv1a-f649b3cf,0-30,0,30,3,1,180.3333,2.3333,0,2.6667,56.6667,0.2,2.3333,32,4.6333
centered_candidate_000016_1cfcdd98,fnv1a-2ec1748d,0-30,0,30,3,1,180.3333,2.3333,0,2.6667,53.3333,0.2,2.3333,32,4.6333
centered_candidate_000002_f31a2e19,fnv1a-f62ec7b0,0-30,0,30,3,1,180.3333,2,0,2.6667,56.6667,0,2,32,4.5334
centered_candidate_000010_40325819,fnv1a-bd0e1a8a,0-30,0,30,3,1,180.3333,2,0,2.6667,56.6667,0,2,32,4.5334
centered_candidate_000015_92804693,fnv1a-9edbc76b,0-30,0,30,3,1,180.3333,2.6667,0,2.6667,56.6667,0.6,2.6667,32,4.4334
centered_candidate_000019_4d94bdf2,fnv1a-c74a0470,0-30,0,30,3,1,180.3333,2.6667,0,2.6667,56.6667,0.6,2.6667,32,4.4334
centered_candidate_000028_00e9efeb,fnv1a-a4abb5a4,0-30,0,30,3,1,180.3333,2.3333,0,2.6667,56.6667,0.4,2.3333,32,4.3333
centered_candidate_000023_532e72b8,fnv1a-4947cd6f,0-30,0,30,3,1,180,2,0,2.6667,56.6667,0.2,2,32,4.2334
centered_candidate_000001_243fec99,fnv1a-f9635045,0-30,0,30,3,1,180,2.6667,0,2.6667,56.6667,0.8,2.6667,32,4.1334
centered_candidate_000006_59289b20,fnv1a-32155416,0-30,0,30,3,1,180,2.6667,0,2.6667,56.6667,0.8,2.6667,32,4.1334
centered_candidate_000012_fcf0150c,fnv1a-c52f2413,0-30,0,30,3,1,180,2.6667,0,2.6667,56.6667,0.8,2.6667,32,4.1334
