candidateId,strategyVariantId,runs,scenarioCount,bossKillRate,avgExp,medianExp,p10Exp,p90Exp,expStdDev,avgScore,medianScore,p10Score,p90Score,completionRate,avgSurvivalTimeSeconds,avgLevel,avgKills,avgDamageDealt,medianDamageDealt,p10DamageDealt,p90DamageDealt,avgDamageTaken,damageWindowPassRate,avgDamageWindowViolationCount,avgMaxDamageWindowRatio,damageSafetyPenalty,damageDealtStdDev,scoreStdDev,consistencyScore,generalFitnessScore
centered_candidate_000202_e37b9073,centered-gaussian,5,5,0.4,3399.2,84,67,8422.2,4074.4145,22583.4,1676,1457,54280.4,0.4,445.98,27,1193.4,104401,3229,2806,258049.4,186,0,3.2,0.5238,22731,124318.3286,25764.6298,-1970.2072,3399.2
general_top10-average-phased_de3869ea,top10-average-phased,5,5,0.4,3395,295,68.6,8293.4,3980.446,22549.4,3467,1488.6,53220.2,0.4,470.84,27.6,1184.2,111662,8593,2924.8,283596.8,200.8,0,3.4,0.609,24938.4,135981.5603,24970.032,-1921.623,3395
centered_candidate_000122_7a8c3017,centered-gaussian,5,5,0.4,3388.8,357,67.4,8234.8,3949.473,22703.8,3775,1435.2,53474.2,0.4,462.08,27.8,1197.4,122195.6,7797,2810.8,303538.4,196.2,0,3,0.5563,22229.6,144947.7073,25085.5067,-1907.3365,3388.8
centered_candidate_000258_cfcec04d,centered-gaussian,5,5,0.4,3385.8,253,104.2,8241.6,3956.2072,22519.2,3237,1857.2,52810.4,0.4,490.12,28,1181.6,109076.2,8385,4225.6,270012.8,249,0,4.4,0.454,29415.8,127979.3734,24730.0714,-1873.9036,3385.8
centered_candidate_000108_fd8fb9f4,centered-gaussian,5,5,0.4,3383.6,314,59.6,8280.2,3966.569,22530.2,3593,1286.4,53387.4,0.4,469.46,27.8,1183.2,157077.2,8473,2682.8,409697.2,204.6,0,3.4,0.4829,23313,201555.6272,25029.4451,-1923.6845,3383.6
centered_candidate_000197_b2011c56,centered-gaussian,5,5,0.4,3382,80,56.4,8435.6,4070.3,22492.8,1635,1242.8,54592.2,0.4,438.2,26.8,1191,117989.8,3192,2155.8,293725.4,189,0,2.8,0.6066,21101.4,141649.4272,25899.4818,-1978.75,3382
centered_candidate_000241_c1102497,centered-gaussian,5,5,0.4,3379.8,119,52,8350.6,4048.6233,22366.2,2011,1218.4,53692.2,0.4,444.12,26.8,1182.4,100067.4,3936,2333.6,247053,215.4,0,3.4,0.5766,24670.4,119050.924,25576.5892,-1972.3117,3379.8
centered_candidate_000052_a1fd1d6d,centered-gaussian,5,5,0.4,3377.6,386,94.4,8171.2,3901.3426,22645.8,4061,1778.8,52876.2,0.4,481.14,28.4,1188.4,114225.6,9264,3725.8,283504,214.8,0,3.8,0.5799,25311.4,134540.3019,24610.9908,-1856.2713,3377.6
centered_candidate_000014_d28bc1fc,centered-gaussian,5,5,0.4,3374.2,329,63.4,8217.8,3942.6135,22447,3481,1248.4,53074.8,0.4,461.34,27.8,1176.4,139727.4,7895,2012,349239,180.8,0,2.6,0.704,20543.8,167220.8266,24973.9581,-1907.9067,3374.2
centered_candidate_000125_d84cff29,centered-gaussian,5,5,0.4,3370.6,345,54.8,8207,3943.4732,22416.4,3568,1275.4,53077.6,0.4,467.96,27.6,1175.4,101126.2,8375,2480.4,248135.2,188.6,0,3.4,0.5035,23690.2,118588.1334,24965.501,-1916.9366,3370.6
search_candidate_000181_e5f18153,random-phased,5,5,0.4,3369.8,218,82.6,8251.6,3970.3743,22489,2970,1654.8,53149.2,0.4,464.04,27.6,1184.2,92961.8,5709,3013,228238.8,208.6,0,4,0.4764,26553.6,109161.3833,24965.3316,-1902.5871,3369.8
centered_candidate_000176_17bb7a71,centered-gaussian,5,5,0.4,3368.8,233,71.2,8259.2,3972.1513,22320.6,2895,1456,53010.8,0.4,468.48,27.4,1169.4,135581.2,7548,2943.2,343974.2,192.8,0,3.4,0.4999,23517.6,164800.9558,24942.4254,-1914.8757,3368.8
centered_candidate_000158_da9ddcec,centered-gaussian,5,5,0.4,3365.6,272,125.2,8168.6,3901.2869,22572.6,3276,1935.2,52916.2,0.4,490.84,28.4,1181,140479.6,8142,4241,364235.6,202.8,0,3.2,0.4675,22355.8,178663.8303,24659.3515,-1825.4434,3365.6
centered_candidate_000152_f3e71e77,centered-gaussian,5,5,0.4,3363.6,118,66.4,8290.4,4015.5933,22178.6,1955,1359.2,53084.2,0.4,445.24,27,1164.2,103980.8,3774,2435.6,260767.4,185.4,0,3,0.5916,22129.4,124870.92,25229.0973,-1941.3967,3363.6
centered_candidate_000172_b9b174c8,centered-gaussian,5,5,0.4,3356.8,347,60.4,8181.6,3921.8871,22398.8,3732,1340.2,52912.6,0.4,466.5,27.6,1178.2,149931,9185,2670.8,375533.4,211.4,0,3.4,0.4905,23939,179476.4093,24826.4857,-1900.5435,3356.8
centered_candidate_000175_5b0ee5c3,centered-gaussian,5,5,0.4,3355.4,237,85.2,8211.2,3942.3694,22456,3005,1721.4,53070.8,0.4,473.36,27.8,1181,116506.8,7561,3355.4,284853.6,215.8,0,4.2,0.4954,28153.8,136886.1374,24857.9961,-1885.9847,3355.4
centered_candidate_000221_79d9034a,centered-gaussian,5,5,0.4,3354.2,58,36.8,8331,4053.9274,22041.8,1290,869.2,53570.4,0.4,432.38,26,1160.8,104286,2398,1479.2,259947,161.6,0,2.8,0.6805,20738.6,125612.0009,25740.331,-1990.1637,3354.2
centered_candidate_000175_07081f1b,centered-gaussian,5,5,0.4,3352.8,151,59,8262,3993.0572,22301,2284,1245.4,53385.8,0.4,458.62,26.8,1172.2,131460.8,4491,2390.4,329400.6,158,0,3,0.5551,20302.2,158062.0282,25303.6519,-1937.5286,3352.8
centered_candidate_000090_ce65655f,centered-gaussian,5,5,0.4,3350.6,87,69.6,8278.2,4010.4752,22348.8,1681,1438,53650.4,0.4,449.96,26.8,1180,132846,3658,2944,349156.2,179.4,0,2.4,0.5409,18525.2,173162.7577,25488.0867,-1935.6376,3350.6
centered_candidate_000179_8d93a483,centered-gaussian,5,5,0.4,3347,146,81.2,8223.6,3972.495,22263.4,2172,1719,52922.8,0.4,476.16,27.2,1168.2,121834,5574,3407.8,298413.2,199.8,0,3.2,0.5363,22943.8,144138.774,24977.8257,-1905.0475,3347
centered_candidate_000036_66014653,centered-gaussian,5,5,0.4,3345,299,54.6,8158.8,3929.99,22257.2,3602,1262.6,52597.2,0.4,461.38,27.2,1167.8,116028.4,8123,2188.8,295621.4,173.8,0,3.4,0.6055,23318.4,142010.5863,24770.7999,-1910.395,3345
